pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
markdown,รหัสวิชา,266,0.180451,,0.819549,0,384,0,48,2128
markdown,ชื่อวิชา (ไทย) ⭐,266,0.145272,0.307692,0.733083,13,883,15,48,6271
markdown,ชื่อวิชา (อังกฤษ) ⭐,266,0.146411,0.144273,0.781955,4,867,6,48,5990
markdown,หน่วยกิต,266,0.219822,,0.778195,3,465,0,58,2129
markdown,ปี/ภาค,266,0.180451,,0.819549,0,48,0,48,266
markdown,หมวดวิชา,266,0.180451,,0.819549,0,912,0,48,5054
markdown,บังคับ/เลือก,266,0.180451,,0.819549,0,240,0,48,1330
markdown,วิชาบังคับก่อน,218,0.0,,0.995413,0,0,41,0,0
markdown,ปี/ภาคยืดหยุ่น,218,0.0,,1.0,0,0,0,0,0
