pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
vlm,รหัสวิชา,58,0.413793,,0.586207,0,192,0,24,464
vlm,ชื่อวิชา (ไทย) ⭐,58,0.528147,0.72,0.482759,0,678,157,24,1581
vlm,ชื่อวิชา (อังกฤษ) ⭐,58,0.466157,0.469565,0.534483,0,789,3,24,1699
vlm,หน่วยกิต,58,0.413276,,0.586207,0,193,0,24,467
vlm,ปี/ภาค,58,0.413793,,0.586207,0,72,0,24,174
vlm,หมวดวิชา,58,1.0,,0.0,0,818,0,58,818
vlm,บังคับ/เลือก,58,1.0,,0.0,0,325,0,58,325
vlm,วิชาบังคับก่อน,34,0.175532,,0.911765,15,18,0,0,188
vlm,ปี/ภาคยืดหยุ่น,34,0.0,,0.970588,0,0,19,0,0
