pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
markdown,รหัสวิชา,105,0.114286,,0.885714,0,96,0,12,840
markdown,ชื่อวิชา (ไทย) ⭐,105,0.141497,0.297872,0.714286,19,342,55,12,2940
markdown,ชื่อวิชา (อังกฤษ) ⭐,105,0.125044,0.154734,0.847619,12,316,26,12,2831
markdown,หน่วยกิต,105,0.34657,,0.704762,3,381,0,25,1108
markdown,ปี/ภาค,105,0.16,,0.885714,0,36,0,12,225
markdown,หมวดวิชา,105,0.838266,,0.114286,13,1197,8,91,1453
markdown,บังคับ/เลือก,105,0.248668,,0.761905,65,64,11,12,563
markdown,วิชาบังคับก่อน,93,0.0,,1.0,0,0,0,0,480
markdown,ปี/ภาคยืดหยุ่น,93,0.044444,,0.978495,0,22,0,2,495
