pipeline,attribute,n_items,cer,wer,exact_match_acc,n_sub,n_del,n_ins,n_missing,n_ref_chars
markdown,รหัสวิชา,72,0.055556,,0.944444,0,32,0,4,576
markdown,ชื่อวิชา (ไทย) ⭐,72,0.084513,0.103774,0.875,0,118,73,4,2260
markdown,ชื่อวิชา (อังกฤษ) ⭐,72,0.056629,0.161184,0.930556,0,128,1,4,2278
markdown,หน่วยกิต,72,0.235759,,0.75,3,138,8,14,632
markdown,ปี/ภาค,72,0.055556,,0.944444,0,12,0,4,216
markdown,หมวดวิชา,72,0.915521,,0.027778,0,932,0,66,1018
markdown,บังคับ/เลือก,72,0.336683,,0.680556,95,20,19,4,398
markdown,วิชาบังคับก่อน,68,0.01108,,0.985294,1,3,0,0,361
markdown,ปี/ภาคยืดหยุ่น,68,1.0,,0.720588,0,57,0,19,57
